timestamp,x,y,z,on_path
1760992439.4923863,nan,nan,nan,False
1760992440.5441236,nan,nan,nan,False
1760992440.5885682,nan,nan,nan,False
1760992440.6000874,nan,nan,nan,False
1760992440.6081712,nan,nan,nan,False
1760992440.61543,nan,nan,nan,False
1760992440.6236022,nan,nan,nan,False
1760992440.6318414,nan,nan,nan,False
1760992440.6384685,nan,nan,nan,False
1760992440.6471195,nan,nan,nan,False
1760992440.6554844,nan,nan,nan,False
1760992440.6648867,nan,nan,nan,False
1760992440.6737022,nan,nan,nan,False
1760992440.6826856,nan,nan,nan,False
1760992440.691028,nan,nan,nan,False
1760992440.6978583,nan,nan,nan,False
1760992440.7061024,nan,nan,nan,False
1760992440.7119982,nan,nan,nan,False
1760992440.7204273,nan,nan,nan,False
1760992440.7282035,nan,nan,nan,False
1760992440.7344263,nan,nan,nan,False
1760992440.7410321,nan,nan,nan,False
1760992440.7488327,nan,nan,nan,False
1760992440.7568767,nan,nan,nan,False
1760992440.7641618,nan,nan,nan,False
1760992440.7712579,nan,nan,nan,False
1760992440.7781634,nan,nan,nan,False
1760992440.786201,nan,nan,nan,False
1760992440.7934062,nan,nan,nan,False
1760992440.801017,nan,nan,nan,False
1760992440.8071065,nan,nan,nan,False
1760992440.813687,nan,nan,nan,False
1760992440.8213751,nan,nan,nan,False
1760992440.8276918,nan,nan,nan,False
1760992440.8364754,nan,nan,nan,False
1760992440.8434258,nan,nan,nan,False
1760992440.851291,nan,nan,nan,False
1760992440.8586347,nan,nan,nan,False
1760992440.8657222,nan,nan,nan,False
1760992440.8753428,nan,nan,nan,False
1760992440.882992,nan,nan,nan,False
1760992440.8903658,nan,nan,nan,False
1760992440.8971434,nan,nan,nan,False
1760992440.9053826,nan,nan,nan,False
1760992440.91133,nan,nan,nan,False
1760992440.918743,nan,nan,nan,False
1760992440.9280293,nan,nan,nan,False
1760992440.9353023,nan,nan,nan,False
1760992440.941781,nan,nan,nan,False
1760992440.9483747,nan,nan,nan,False
1760992440.9552436,nan,nan,nan,False
1760992440.9625182,nan,nan,nan,False
1760992440.969187,nan,nan,nan,False
1760992440.976414,nan,nan,nan,False
1760992440.982734,nan,nan,nan,False
1760992440.990865,nan,nan,nan,False
1760992440.9972272,nan,nan,nan,False
1760992441.0052009,nan,nan,nan,False
1760992441.0116158,nan,nan,nan,False
1760992441.0196254,nan,nan,nan,False
1760992441.0267136,nan,nan,nan,False
1760992441.0339043,nan,nan,nan,False
1760992441.0410714,nan,nan,nan,False
1760992441.0480123,nan,nan,nan,False
1760992441.0566497,nan,nan,nan,False
1760992441.066162,nan,nan,nan,False
1760992441.074137,nan,nan,nan,False
1760992441.082641,nan,nan,nan,False
1760992441.0909092,nan,nan,nan,False
1760992441.1002045,nan,nan,nan,False
1760992441.1089725,nan,nan,nan,False
1760992441.118036,nan,nan,nan,False
1760992441.1256297,nan,nan,nan,False
1760992441.1349115,nan,nan,nan,False
1760992441.1430793,nan,nan,nan,False
1760992441.1517112,nan,nan,nan,False
1760992441.161293,nan,nan,nan,False
1760992441.1693842,nan,nan,nan,False
1760992441.177058,nan,nan,nan,False
1760992441.1866753,nan,nan,nan,False
1760992441.1944041,nan,nan,nan,False
1760992441.2022908,nan,nan,nan,False
1760992441.211382,nan,nan,nan,False
1760992441.2193143,nan,nan,nan,False
1760992441.2259579,nan,nan,nan,False
1760992441.2333279,nan,nan,nan,False
1760992441.2393641,nan,nan,nan,False
1760992441.2459352,nan,nan,nan,False
1760992441.251008,nan,nan,nan,False
1760992441.257793,nan,nan,nan,False
1760992441.2637813,nan,nan,nan,False
1760992441.2703705,nan,nan,nan,False
1760992441.27605,nan,nan,nan,False
1760992441.2821462,nan,nan,nan,False
1760992441.2881017,nan,nan,nan,False
1760992441.2946503,nan,nan,nan,False
1760992441.301243,nan,nan,nan,False
1760992441.3067698,nan,nan,nan,False
1760992441.3123255,nan,nan,nan,False
1760992441.3184612,nan,nan,nan,False
1760992441.325919,nan,nan,nan,False
1760992441.3309462,nan,nan,nan,False
1760992441.3369954,nan,nan,nan,False
1760992441.3438087,nan,nan,nan,False
1760992441.348917,nan,nan,nan,False
1760992441.355344,nan,nan,nan,False
1760992441.3613489,nan,nan,nan,False
1760992441.3681407,nan,nan,nan,False
1760992441.374241,nan,nan,nan,False
1760992441.3800979,nan,nan,nan,False
1760992441.3862183,nan,nan,nan,False
1760992441.3922617,nan,nan,nan,False
1760992441.3986166,nan,nan,nan,False
1760992441.4049292,nan,nan,nan,False
1760992441.4110732,nan,nan,nan,False
1760992441.4174433,nan,nan,nan,False
1760992441.4226363,nan,nan,nan,False
1760992441.4293737,nan,nan,nan,False
1760992441.4344199,nan,nan,nan,False
1760992441.4411247,nan,nan,nan,False
1760992441.4480386,nan,nan,nan,False
1760992441.4549391,nan,nan,nan,False
1760992441.4611635,nan,nan,nan,False
1760992441.4669533,nan,nan,nan,False
1760992441.473894,nan,nan,nan,False
1760992441.4813154,nan,nan,nan,False
1760992441.4879954,nan,nan,nan,False
1760992441.493301,nan,nan,nan,False
1760992441.5011764,nan,nan,nan,False
1760992441.5084057,nan,nan,nan,False
1760992441.5148842,nan,nan,nan,False
1760992441.5211153,nan,nan,nan,False
1760992441.5274441,nan,nan,nan,False
1760992441.532571,nan,nan,nan,False
1760992441.5393922,nan,nan,nan,False
1760992441.5455241,nan,nan,nan,False
1760992441.551246,nan,nan,nan,False
1760992441.5573747,nan,nan,nan,False
1760992441.563268,nan,nan,nan,False
1760992441.5688126,nan,nan,nan,False
1760992441.574472,nan,nan,nan,False
1760992441.5812957,nan,nan,nan,False
1760992441.5869792,nan,nan,nan,False
1760992441.5935378,nan,nan,nan,False
1760992441.5996284,nan,nan,nan,False
1760992441.6058948,nan,nan,nan,False
1760992441.6113546,nan,nan,nan,False
1760992441.6179094,nan,nan,nan,False
1760992441.623569,nan,nan,nan,False
1760992441.6287007,nan,nan,nan,False
1760992441.6364439,nan,nan,nan,False
1760992441.6429071,nan,nan,nan,False
1760992441.6484573,nan,nan,nan,False
1760992441.6535637,nan,nan,nan,False
